source,target,transformed_treat_score,rank,is_known_positive,off_label
UNII:7K5O7P6QIU,MONDO:0005212,3.177623544580637,12685031.0,False,False
UNII:9R3D3Y0UHS,MONDO:0013582,3.0573314378079615,30118176.0,False,False
CHEBI:5384,MONDO:0000141,3.1835010764087954,12140043.0,False,False
CHEBI:7915,MONDO:0006058,3.185604930159344,11950940.0,False,False
CHEBI:51141,MONDO:0000141,3.0551325796086433,30543970.0,False,False
CHEBI:59204,MONDO:0013582,3.056658809121328,30248021.0,False,False
CHEBI:63626,MONDO:0000141,3.055448359852374,30482742.0,False,False
RXCUI:616538,MONDO:0006058,3.08111412009507,25687532.0,False,False
CHEBI:78538,MONDO:0009759,3.081949402082337,25539581.0,False,False
UMLS:C2826078,MONDO:0000141,3.0820643988759473,25519483.0,False,False
CHEBI:135954,MONDO:0006058,3.1790900103407047,12547142.0,False,False
CHEBI:17439,MONDO:0009759,3.056840003449887,30212921.0,False,False
CHEBI:51860,MONDO:0009759,3.1822212704901536,12256587.0,False,False
UMLS:C5556533,MONDO:0005212,3.181684179416793,12306241.0,False,False
CHEBI:8768,MONDO:0005212,3.1776115002653396,12686187.0,False,False
CHEBI:6843,MONDO:0006058,3.080405703487295,25814244.0,False,False
CHEBI:32293,MONDO:0009759,3.0563981851373825,30298433.0,False,False
CHEBI:135907,MONDO:0009759,3.056402720210019,30297590.0,False,False
CHEBI:4445,MONDO:0009759,3.0805203694271217,25793927.0,False,False
CHEBI:64064,MONDO:0013582,3.0807663389885276,25749840.0,False,False
CHEBI:229599,MONDO:0006058,3.183087801459749,12177695.0,False,False
UNII:00Y6A5AJU6,MONDO:0009759,3.0799355092491476,25898785.0,False,False
CHEBI:135948,MONDO:0005212,3.0838626937589426,25203386.0,False,False
CHEBI:465284,MONDO:0009759,3.0821400410520488,25506249.0,False,False
CHEBI:16796,MONDO:0000141,3.082117160535051,25510297.0,False,False
CHEMBL.COMPOUND:CHEMBL2367706,MONDO:0000141,3.0552258781421866,30525765.0,False,False
CHEBI:229222,MONDO:0000141,3.082151380217529,25504297.0,False,False
CHEBI:132967,MONDO:0005212,3.1838178022746524,12111311.0,False,False
UNII:7K28NB895L,MONDO:0000141,3.0804735072931666,25802270.0,False,False
CHEBI:4885,MONDO:0013582,3.083349039813539,25293243.0,False,False
UNII:L7451S9126,MONDO:0006058,3.179916657283214,12469671.0,False,False
CHEBI:2639,MONDO:0013582,3.1839562133472628,12098712.0,False,False
